
Hello!
ADS1115 resolution: 1 bit = 0.0078125mV
ADC_01: 15567(243.23mV) Current : 336.78mA Voltage : 4271.93mV
ADC_01: 15576(243.38mV) Current : 336.97mA Voltage : 4271.93mV
ADC_01: 15582(243.47mV) Current : 337.10mA Voltage : 4271.93mV
ADC_01: 15572(243.31mV) Current : 336.88mA Voltage : 4278.41mV
ADC_01: 15529(242.64mV) Current : 335.95mA Voltage : 4278.41mV
ADC_01: 15506(242.28mV) Current : 335.46mA Voltage : 4271.93mV
ADC_01: 15507(242.30mV) Current : 335.48mA Voltage : 4265.44mV
ADC_01: 15529(242.64mV) Current : 335.95mA Voltage : 4271.93mV
ADC_01: 15575(243.36mV) Current : 336.95mA Voltage : 4271.93mV
ADC_01: 15588(243.56mV) Current : 337.23mA Voltage : 4271.93mV
ADC_01: 15576(243.38mV) Current : 336.97mA Voltage : 4278.41mV
ADC_01: 15564(243.19mV) Current : 336.71mA Voltage : 4278.41mV
ADC_01: 15515(242.42mV) Current : 335.65mA Voltage : 4278.41mV
ADC_01: 16851(263.30mV) Current : 364.55mA Voltage : 4194.14mV
ADC_01: 15769(246.39mV) Current : 341.15mA Voltage : 4265.44mV
ADC_01: 15535(242.73mV) Current : 336.08mA Voltage : 4271.93mV
ADC_01: 15579(243.42mV) Current : 337.04mA Voltage : 4265.44mV
ADC_01: 15593(243.64mV) Current : 337.34mA Voltage : 4271.93mV
ADC_01: 15571(243.30mV) Current : 336.86mA Voltage : 4271.93mV
ADC_01: 15546(242.91mV) Current : 336.32mA Voltage : 4278.41mV
ADC_01: 15514(242.41mV) Current : 335.63mA Voltage : 4271.93mV
ADC_01: 15495(242.11mV) Current : 335.22mA Voltage : 4265.44mV
ADC_01: 15516(242.44mV) Current : 335.67mA Voltage : 4271.93mV
ADC_01: 15565(243.20mV) Current : 336.73mA Voltage : 4271.93mV
ADC_01: 15574(243.34mV) Current : 336.93mA Voltage : 4271.93mV
ADC_01: 15583(243.48mV) Current : 337.12mA Voltage : 4271.93mV
ADC_01: 15573(243.33mV) Current : 336.91mA Voltage : 4278.41mV
ADC_01: 17389(271.70mV) Current : 376.19mA Voltage : 4174.69mV
ADC_01: 15503(242.23mV) Current : 335.39mA Voltage : 4271.93mV
ADC_01: 15504(242.25mV) Current : 335.41mA Voltage : 4271.93mV
ADC_01: 15524(242.56mV) Current : 335.85mA Voltage : 4271.93mV
ADC_01: 15571(243.30mV) Current : 336.86mA Voltage : 4271.93mV
ADC_01: 15583(243.48mV) Current : 337.12mA Voltage : 4271.93mV
ADC_01: 15583(243.48mV) Current : 337.12mA Voltage : 4278.41mV
ADC_01: 15563(243.17mV) Current : 336.69mA Voltage : 4284.89mV
ADC_01: 15509(242.33mV) Current : 335.52mA Voltage : 4271.93mV
ADC_01: 15508(242.31mV) Current : 335.50mA Voltage : 4271.93mV
ADC_01: 15516(242.44mV) Current : 335.67mA Voltage : 4278.41mV
ADC_01: 15576(243.38mV) Current : 336.97mA Voltage : 4271.93mV
ADC_01: 15628(244.19mV) Current : 338.10mA Voltage : 4271.93mV
ADC_01: 15582(243.47mV) Current : 337.10mA Voltage : 4271.93mV
ADC_01: 15584(243.50mV) Current : 337.14mA Voltage : 4278.41mV
ADC_01: 15556(243.06mV) Current : 336.54mA Voltage : 4278.41mV
ADC_01: 15504(242.25mV) Current : 335.41mA Voltage : 4271.93mV
ADC_01: 15508(242.31mV) Current : 335.50mA Voltage : 4271.93mV
ADC_01: 15531(242.67mV) Current : 336.00mA Voltage : 4278.41mV
ADC_01: 15565(243.20mV) Current : 336.73mA Voltage : 4271.93mV
ADC_01: 15590(243.59mV) Current : 337.27mA Voltage : 4271.93mV
ADC_01: 15577(243.39mV) Current : 336.99mA Voltage : 4271.93mV
ADC_01: 15559(243.11mV) Current : 336.60mA Voltage : 4278.41mV
ADC_01: 15519(242.48mV) Current : 335.74mA Voltage : 4278.41mV
ADC_01: 15497(242.14mV) Current : 335.26mA Voltage : 4278.41mV
ADC_01: 15501(242.20mV) Current : 335.35mA Voltage : 4278.41mV
ADC_01: 15532(242.69mV) Current : 336.02mA Voltage : 4278.41mV
ADC_01: 15581(243.45mV) Current : 337.08mA Voltage : 4278.41mV
ADC_01: 15581(243.45mV) Current : 337.08mA Voltage : 4271.93mV
ADC_01: 15593(243.64mV) Current : 337.34mA Voltage : 4271.93mV
ADC_01: 15552(243.00mV) Current : 336.45mA Voltage : 4278.41mV
ADC_01: 15512(242.38mV) Current : 335.59mA Voltage : 4271.93mV
ADC_01: 15503(242.23mV) Current : 335.39mA Voltage : 4271.93mV
ADC_01: 15499(242.17mV) Current : 335.31mA Voltage : 4278.41mV
ADC_01: 15528(242.63mV) Current : 335.93mA Voltage : 4271.93mV
ADC_01: 15558(243.09mV) Current : 336.58mA Voltage : 4271.93mV
ADC_01: 15583(243.48mV) Current : 337.12mA Voltage : 4271.93mV
ADC_01: 15577(243.39mV) Current : 336.99mA Voltage : 4278.41mV
ADC_01: 15552(243.00mV) Current : 336.45mA Voltage : 4278.41mV
ADC_01: 16925(264.45mV) Current : 366.16mA Voltage : 4200.62mV
ADC_01: 15520(242.50mV) Current : 335.76mA Voltage : 4265.44mV
ADC_01: 15532(242.69mV) Current : 336.02mA Voltage : 4271.93mV
ADC_01: 15567(243.23mV) Current : 336.78mA Voltage : 4265.44mV
ADC_01: 15588(243.56mV) Current : 337.23mA Voltage : 4271.93mV
ADC_01: 15594(243.66mV) Current : 337.36mA Voltage : 4278.41mV
ADC_01: 15557(243.08mV) Current : 336.56mA Voltage : 4278.41mV
ADC_01: 15521(242.52mV) Current : 335.78mA Voltage : 4265.44mV
ADC_01: 15505(242.27mV) Current : 335.44mA Voltage : 4271.93mV
ADC_01: 15510(242.34mV) Current : 335.54mA Voltage : 4271.93mV
ADC_01: 15545(242.89mV) Current : 336.30mA Voltage : 4265.44mV
ADC_01: 15585(243.52mV) Current : 337.17mA Voltage : 4271.93mV
ADC_01: 15590(243.59mV) Current : 337.27mA Voltage : 4265.44mV
ADC_01: 15591(243.61mV) Current : 337.30mA Voltage : 4271.93mV
ADC_01: 15547(242.92mV) Current : 336.34mA Voltage : 4278.41mV
ADC_01: 15512(242.38mV) Current : 335.59mA Voltage : 4271.93mV
ADC_01: 15506(242.28mV) Current : 335.46mA Voltage : 4271.93mV
ADC_01: 15510(242.34mV) Current : 335.54mA Voltage : 4271.93mV
ADC_01: 15563(243.17mV) Current : 336.69mA Voltage : 4271.93mV
ADC_01: 15589(243.58mV) Current : 337.25mA Voltage : 4271.93mV
ADC_01: 15580(243.44mV) Current : 337.06mA Voltage : 4271.93mV
ADC_01: 15573(243.33mV) Current : 336.91mA Voltage : 4278.41mV
ADC_01: 15537(242.77mV) Current : 336.13mA Voltage : 4278.41mV
ADC_01: 15504(242.25mV) Current : 335.41mA Voltage : 4271.93mV
ADC_01: 15509(242.33mV) Current : 335.52mA Voltage : 4271.93mV
ADC_01: 15532(242.69mV) Current : 336.02mA Voltage : 4278.41mV
ADC_01: 15576(243.38mV) Current : 336.97mA Voltage : 4271.93mV
ADC_01: 15585(243.52mV) Current : 337.17mA Voltage : 4271.93mV
ADC_01: 15579(243.42mV) Current : 337.04mA Voltage : 4278.41mV
ADC_01: 15564(243.19mV) Current : 336.71mA Voltage : 4278.41mV
ADC_01: 15517(242.45mV) Current : 335.69mA Voltage : 4278.41mV
ADC_01: 15505(242.27mV) Current : 335.44mA Voltage : 4310.82mV
ADC_01: 15514(242.41mV) Current : 335.63mA Voltage : 4284.89mV
ADC_01: 15544(242.88mV) Current : 336.28mA Voltage : 4291.37mV
ADC_01: 15603(243.80mV) Current : 337.56mA Voltage : 4278.41mV
ADC_01: 15613(243.95mV) Current : 337.77mA Voltage : 4284.89mV
ADC_01: 15596(243.69mV) Current : 337.40mA Voltage : 4297.86mV
ADC_01: 15549(242.95mV) Current : 336.39mA Voltage : 4291.37mV
ADC_01: 15516(242.44mV) Current : 335.67mA Voltage : 4284.89mV
ADC_01: 15510(242.34mV) Current : 335.54mA Voltage : 4291.37mV
ADC_01: 15526(242.59mV) Current : 335.89mA Voltage : 4284.89mV
ADC_01: 15565(243.20mV) Current : 336.73mA Voltage : 4284.89mV
ADC_01: 15585(243.52mV) Current : 337.17mA Voltage : 4284.89mV
ADC_01: 15579(243.42mV) Current : 337.04mA Voltage : 4284.89mV
ADC_01: 15572(243.31mV) Current : 336.88mA Voltage : 4291.37mV
ADC_01: 15528(242.63mV) Current : 335.93mA Voltage : 4291.37mV
ADC_01: 15475(241.80mV) Current : 334.79mA Voltage : 4284.89mV
ADC_01: 15506(242.28mV) Current : 335.46mA Voltage : 4291.37mV
ADC_01: 15528(242.63mV) Current : 335.93mA Voltage : 4291.37mV
ADC_01: 15538(242.78mV) Current : 336.15mA Voltage : 4284.89mV
ADC_01: 15549(242.95mV) Current : 336.39mA Voltage : 4284.89mV
ADC_01: 15587(243.55mV) Current : 337.21mA Voltage : 4291.37mV
ADC_01: 15508(242.31mV) Current : 335.50mA Voltage : 4297.86mV
ADC_01: 15527(242.61mV) Current : 335.91mA Voltage : 4291.37mV
ADC_01: 15454(241.47mV) Current : 334.33mA Voltage : 4291.37mV
ADC_01: 15518(242.47mV) Current : 335.72mA Voltage : 4284.89mV
ADC_01: 15563(243.17mV) Current : 336.69mA Voltage : 4284.89mV
